Nom du skin,2025-06-05,Steam - 2025-06-05,SkinBaron - 2025-06-05,Steam - 2025-06-06,SkinBaron - 2025-06-06,Steam - 2025-06-07,SkinBaron - 2025-06-07
AK-47 | Jaguar (Field-Tested),132.25,132.25,95.21,132.25,95.21,131.8,95.55
AK-47 | Jaguar (Minimal Wear),210.45,210.45,152.32,212.21,152.32,210.65,152.33
AK-47 | Jaguar (Well-Worn),95.84,95.84,61.36,100.0,61.36,102.35,59.87
AK-47 | Jet Set (Battle-Scarred),417.46,417.46,279.55,418.9,279.55,418.9,298.54
AK-47 | Jet Set (Factory New),1228.92,1228.92,785.45,1228.92,785.45,1228.92,781.71
AK-47 | Jet Set (Field-Tested),499.99,499.99,346.35,499.99,346.35,478.34,378.71
AK-47 | Jet Set (Minimal Wear),659.98,659.98,441.34,659.98,441.34,659.98,482.63
AK-47 | Jet Set (Well-Worn),518.5,518.5,337.63,520.67,337.63,520.67,336.36
AK-47 | Jungle Spray (Battle-Scarred),5.93,5.93,4.28,5.93,4.28,6.18,4.79
AK-47 | Jungle Spray (Factory New),156.36,156.36,108.95,154.87,108.95,153.49,125.39
AK-47 | Jungle Spray (Field-Tested),6.23,6.23,4.59,6.23,4.59,6.26,4.78
AK-47 | Jungle Spray (Minimal Wear),15.43,15.43,9.68,15.48,9.68,15.48,10.49
AK-47 | Jungle Spray (Well-Worn),6.0,6.0,5.01,6.0,5.01,5.99,4.99
AK-47 | Leet Museo (Battle-Scarred),55.82,55.82,37.9,56.42,37.9,54.86,39.13
AK-47 | Leet Museo (Factory New),450.0,450.0,311.99,450.0,311.99,450.0,311.99
AK-47 | Leet Museo (Field-Tested),104.21,104.21,69.31,104.28,69.31,107.83,71.72
AK-47 | Leet Museo (Minimal Wear),206.86,206.86,137.69,205.0,137.69,213.44,150.98
AK-47 | Leet Museo (Well-Worn),65.98,65.98,44.86,65.98,44.86,77.07,44.89
AK-47 | Legion of Anubis (Battle-Scarred),6.75,6.75,4.62,6.61,4.62,6.55,4.84
AK-47 | Legion of Anubis (Factory New),19.46,19.46,13.5,19.5,13.5,20.7,13.37
AK-47 | Legion of Anubis (Field-Tested),6.86,6.86,4.87,7.51,4.87,7.19,4.86
AK-47 | Legion of Anubis (Minimal Wear),11.12,11.12,7.55,11.7,7.55,11.92,7.68
AK-47 | Legion of Anubis (Well-Worn),9.02,9.02,5.85,9.02,5.85,8.65,6.03
AK-47 | Midnight Laminate (Battle-Scarred),18.0,18.0,13.91,17.95,13.91,17.56,17.05
AK-47 | Midnight Laminate (Factory New),73.67,73.67,62.32,80.65,62.32,81.65,76.33
AK-47 | Midnight Laminate (Field-Tested),18.08,18.08,14.45,18.29,14.45,18.01,17.98
AK-47 | Midnight Laminate (Minimal Wear),51.0,51.0,40.5,53.82,40.5,51.18,48.77
AK-47 | Midnight Laminate (Well-Worn),19.43,19.43,15.61,19.96,15.61,19.36,15.61
AK-47 | Neon Revolution (Battle-Scarred),28.9,28.9,21.36,29.64,21.36,29.58,21.89
AK-47 | Neon Revolution (Factory New),164.03,164.03,119.74,166.93,119.74,165.45,122.74
AK-47 | Neon Revolution (Field-Tested),28.72,28.72,20.54,29.01,20.54,29.7,20.53
AK-47 | Neon Revolution (Minimal Wear),46.98,46.98,36.96,49.99,36.96,48.6,36.89
AK-47 | Neon Revolution (Well-Worn),36.3,36.3,24.27,33.78,24.27,36.8,25.03
AK-47 | Neon Rider (Battle-Scarred),58.09,58.09,40.91,55.4,40.91,54.74,41.37
AK-47 | Neon Rider (Factory New),300.51,300.51,206.67,292.01,206.67,307.56,203.0
AK-47 | Neon Rider (Field-Tested),56.12,56.12,41.0,59.8,41.0,57.0,41.39
AK-47 | Neon Rider (Minimal Wear),117.95,117.95,90.04,117.78,90.04,119.83,88.08
AK-47 | Neon Rider (Well-Worn),59.87,59.87,43.64,65.41,43.64,66.3,44.91
AK-47 | Nightwish (Battle-Scarred),6.03,6.03,4.4,6.07,4.4,6.27,4.66
AK-47 | Nightwish (Factory New),71.18,71.18,56.17,71.02,56.17,69.54,53.28
AK-47 | Nightwish (Field-Tested),9.35,9.35,6.65,9.75,6.65,9.39,6.65
AK-47 | Nightwish (Minimal Wear),18.1,18.1,13.88,19.7,13.88,19.34,13.81
AK-47 | Nightwish (Well-Worn),7.77,7.77,5.17,7.7,5.17,8.0,5.22
AK-47 | Nouveau Rouge (Battle-Scarred),47.79,47.79,39.41,47.33,39.41,47.07,40.47
AK-47 | Nouveau Rouge (Factory New),430.42,430.42,316.6,456.45,316.6,459.0,304.02
AK-47 | Nouveau Rouge (Field-Tested),90.13,90.13,81.82,96.38,81.82,97.94,81.75
AK-47 | Nouveau Rouge (Minimal Wear),213.9,213.9,178.64,221.15,178.64,229.6,179.97
AK-47 | Nouveau Rouge (Well-Worn),47.2,47.2,41.39,47.8,41.39,46.54,41.59
AK-47 | Olive Polycam (Battle-Scarred),0.17,0.17,0.12,0.19,0.12,0.2,0.14
AK-47 | Olive Polycam (Factory New),0.61,0.61,0.41,0.61,0.41,0.6,0.42
AK-47 | Olive Polycam (Field-Tested),0.2,0.2,0.11,0.2,0.11,0.2,0.14
AK-47 | Olive Polycam (Minimal Wear),0.31,0.31,0.2,0.31,0.2,0.31,0.2
AK-47 | Olive Polycam (Well-Worn),0.24,0.24,0.14,0.25,0.14,0.25,0.16
AK-47 | Orbit Mk01 (Battle-Scarred),29.04,29.04,18.64,28.93,18.64,29.59,22.96
AK-47 | Orbit Mk01 (Factory New),59.26,59.26,38.88,59.37,38.88,57.01,39.17
AK-47 | Orbit Mk01 (Field-Tested),27.42,27.42,17.95,27.54,17.95,27.52,18.14
AK-47 | Orbit Mk01 (Minimal Wear),33.35,33.35,21.68,34.38,21.68,34.36,22.61
AK-47 | Orbit Mk01 (Well-Worn),29.28,29.28,19.4,30.41,19.4,29.55,20.14
AK-47 | Panthera onca (Battle-Scarred),320.0,320.0,183.0,277.33,183.0,277.26,183.0
AK-47 | Panthera onca (Factory New),805.89,805.89,381.68,799.59,381.68,795.93,450.29
AK-47 | Panthera onca (Field-Tested),327.13,327.13,204.02,329.28,204.02,326.34,204.74
AK-47 | Panthera onca (Minimal Wear),507.61,507.61,256.16,510.22,256.16,506.48,321.21
AK-47 | Panthera onca (Well-Worn),337.27,337.27,177.2,338.68,177.2,335.66,178.2
AK-47 | Phantom Disruptor (Battle-Scarred),4.72,4.72,3.18,4.5,3.18,4.53,3.06
AK-47 | Phantom Disruptor (Factory New),16.04,16.04,11.32,15.68,11.32,16.83,11.36
AK-47 | Phantom Disruptor (Field-Tested),5.17,5.17,3.34,5.17,3.34,5.0,3.34
AK-47 | Phantom Disruptor (Minimal Wear),8.3,8.3,5.25,8.62,5.25,7.77,5.25
AK-47 | Phantom Disruptor (Well-Worn),6.28,6.28,4.35,6.4,4.35,6.5,4.32
AK-47 | Point Disarray (Battle-Scarred),14.83,14.83,10.53,16.17,10.53,15.64,10.93
AK-47 | Point Disarray (Factory New),48.13,48.13,36.48,49.6,36.48,50.04,36.44
AK-47 | Point Disarray (Field-Tested),14.87,14.87,10.53,14.99,10.53,15.34,10.5
AK-47 | Point Disarray (Minimal Wear),25.08,25.08,17.17,25.88,17.17,24.33,17.17
AK-47 | Point Disarray (Well-Worn),17.04,17.04,12.4,16.94,12.4,17.34,12.44
AK-47 | Predator (Battle-Scarred),26.33,26.33,21.74,26.4,21.74,26.42,22.36
AK-47 | Predator (Factory New),73.18,73.18,57.27,73.66,57.27,73.0,65.77
AK-47 | Predator (Field-Tested),28.35,28.35,21.26,28.67,21.26,28.44,21.82
AK-47 | Predator (Minimal Wear),31.05,31.05,21.67,31.05,21.67,31.05,21.4
AK-47 | Predator (Well-Worn),26.29,26.29,19.1,26.28,19.1,26.35,19.1
AK-47 | Rat Rod (Battle-Scarred),4.57,4.57,3.18,4.48,3.18,4.44,3.36
AK-47 | Rat Rod (Factory New),32.83,32.83,25.34,32.83,25.34,36.05,25.19
AK-47 | Rat Rod (Field-Tested),4.87,4.87,3.87,4.92,3.87,4.61,3.87
AK-47 | Rat Rod (Minimal Wear),7.99,7.99,5.92,8.07,5.92,8.08,5.88
AK-47 | Rat Rod (Well-Worn),4.42,4.42,3.27,4.52,3.27,4.4,3.38
AK-47 | Red Laminate (Battle-Scarred),81.65,81.65,58.5,81.33,58.5,81.54,59.98
AK-47 | Red Laminate (Factory New),517.0,517.0,272.2,517.0,272.2,517.0,272.2
AK-47 | Red Laminate (Field-Tested),87.44,87.44,56.79,87.77,56.79,86.99,59.02
AK-47 | Red Laminate (Minimal Wear),157.28,157.28,111.0,158.32,111.0,156.91,110.98
AK-47 | Red Laminate (Well-Worn),93.35,93.35,59.04,93.0,59.04,93.0,59.04
AK-47 | Redline (Battle-Scarred),37.63,37.63,25.81,36.98,25.81,37.55,25.82
AK-47 | Redline (Field-Tested),50.04,50.04,38.45,50.18,38.45,49.68,39.14
AK-47 | Redline (Minimal Wear),303.46,303.46,215.36,303.41,215.36,310.31,225.35
AK-47 | Redline (Well-Worn),41.93,41.93,27.33,41.52,27.33,39.85,27.32
AK-47 | Safari Mesh (Battle-Scarred),0.1,0.1,0.06,0.1,0.06,0.1,0.06
AK-47 | Safari Mesh (Factory New),2.15,2.15,1.39,2.14,1.39,2.18,1.51
AK-47 | Safari Mesh (Field-Tested),0.11,0.11,0.06,0.11,0.06,0.11,0.06
AK-47 | Safari Mesh (Minimal Wear),0.23,0.23,0.16,0.23,0.16,0.23,0.15
AK-47 | Safari Mesh (Well-Worn),0.11,0.11,0.05,0.11,0.05,0.11,0.07
